feature,importance
total_production,0.5940159
biomass,0.28675878
oil,0.04547154
region_encoded,0.021809336
total_export,0.017075466
fossil_free_percentage,0.0121742645
hydro,0.011421548
gas,0.0043038977
nuclear,0.002253613
carbon_intensity,0.0010348212
wind,0.0009179608
production_consumption_ratio,0.0006334482
hour,0.00049874245
total_import,0.00037527495
solar,0.00030638944
coal,0.0003052539
geothermal,0.00025350845
renewable_percentage,0.00014442235
day_of_week,0.00010284803
renewable_ratio,8.228858e-05
day,3.5902824e-05
is_peak_hour,1.9392624e-05
fossil_ratio,5.3948224e-06
is_weekend,0.0
month,0.0
